Sample,Area,Site,Al 27,Fe 57,Pb 204,Mg,Mg/ml,Web in solution ppb,Al_perc,Al_perc_day,Al_ppb,Al_ppb_day,Fe_Perc,Fe_Perc_Day,Fe_ppb,Fe_ppb_day,Pb_Perc,Pb_Perc_Day,Pb_ppb,Pb_ppb_day,Days
BV1,ES,BV,284,85,30,1.87,0.623333333,623333.3333,0.045561497,0.003254393,455614.9733,32543.92666,0.013636364,0.000974026,136363.6364,9740.25974,0.004812834,0.000343774,48128.34225,3437.738732,14
BV10,ES,BV,156,62,31,1.9,0.633333333,633333.3333,0.024631579,0.001759398,246315.7895,17593.98496,0.009789474,0.000699248,97894.73684,6992.481203,0.004894737,0.000349624,48947.36842,3496.240602,14
BV11,ES,BV,110,50,14,0.99,0.33,330000,0.033333333,0.002380952,333333.3333,23809.52381,0.015151515,0.001082251,151515.1515,10822.51082,0.004242424,0.00030303,42424.24242,3030.30303,14
BV12,ES,BV,130,64,50,1.61,0.536666667,536666.6667,0.024223602,0.001730257,242236.0248,17302.5732,0.011925466,0.000851819,119254.6584,8518.189885,0.00931677,0.000665484,93167.70186,6654.835847,14
BV13,ES,BV,216,69,59,3.25,1.083333333,1083333.333,0.019938462,0.001424176,199384.6154,14241.75824,0.006369231,0.000454945,63692.30769,4549.450549,0.005446154,0.000389011,54461.53846,3890.10989,14
BV14,ES,BV,87,46,21,0.91,0.303333333,303333.3333,0.028681319,0.002048666,286813.1868,20486.6562,0.015164835,0.001083203,151648.3516,10832.02512,0.006923077,0.000494505,69230.76923,4945.054945,14
BV15,ES,BV,96,30,11,0.67,0.223333333,223333.3333,0.042985075,0.003070362,429850.7463,30703.62473,0.013432836,0.000959488,134328.3582,9594.882729,0.004925373,0.000351812,49253.73134,3518.123667,14
BV2,ES,BV,142,71,28,1.27,0.423333333,423333.3333,0.033543307,0.002395951,335433.0709,23959.50506,0.016771654,0.001197975,167716.5354,11979.75253,0.006614173,0.000472441,66141.73228,4724.409449,14
BV3,ES,BV,225,51,18,1.46,0.486666667,486666.6667,0.046232877,0.003302348,462328.7671,33023.48337,0.010479452,0.000748532,104794.5205,7485.322896,0.00369863,0.000264188,36986.30137,2641.878669,14
BV4,ES,BV,172,96,50,2.68,0.893333333,893333.3333,0.019253731,0.001375267,192537.3134,13752.66525,0.010746269,0.000767591,107462.6866,7675.906183,0.005597015,0.000399787,55970.14925,3997.867804,14
BV5,ES,BV,94,39,13,0.83,0.276666667,276666.6667,0.033975904,0.00242685,339759.0361,24268.50258,0.014096386,0.001006885,140963.8554,10068.84682,0.004698795,0.000335628,46987.95181,3356.282272,14
BV6,ES,BV,125,53,16,0.97,0.323333333,323333.3333,0.038659794,0.002761414,386597.9381,27614.13844,0.016391753,0.001170839,163917.5258,11708.3947,0.004948454,0.000353461,49484.53608,3534.60972,14
BV7,ES,BV,161,90,41,2.93,0.976666667,976666.6667,0.016484642,0.001177474,164846.4164,11774.74403,0.009215017,0.000658216,92150.17065,6582.155046,0.004197952,0.000299854,41979.52218,2998.537299,14
BV8,ES,BV,114,78,22,1.46,0.486666667,486666.6667,0.023424658,0.00167319,234246.5753,16731.89824,0.016027397,0.001144814,160273.9726,11448.1409,0.004520548,0.000322896,45205.47945,3228.962818,14
BV9,ES,BV,132,76,296,2.4,0.8,800000,0.0165,0.001178571,165000,11785.71429,0.0095,0.000678571,95000,6785.714286,0.037,0.002642857,370000,26428.57143,14
HU1,HU,HU,54,464,5,1.16,0.386666667,386666.6667,0.013965517,0.000931034,139655.1724,9310.344828,0.12,0.008,1200000,80000,0.001293103,8.62E-05,12931.03448,862.0689655,15
HU10,HU,HU,136,103,58,8.12,2.706666667,2706666.667,0.005024631,0.000334975,50246.30542,3349.753695,0.003805419,0.000253695,38054.18719,2536.945813,0.002142857,0.000142857,21428.57143,1428.571429,15
HU11,HU,HU,77,34,22,8.54,2.846666667,2846666.667,0.002704918,0.000180328,27049.18033,1803.278689,0.001194379,7.96E-05,11943.79391,796.2529274,0.000772834,5.15E-05,7728.337237,515.2224824,15
HU12,HU,HU,55,BLQ,BLQ,0.98,0.326666667,326666.6667,0.016836735,0.001122449,168367.3469,11224.4898,NA,NA,NA,NA,NA,NA,NA,NA,15
HU13,HU,HU,270,146,87,4.55,1.516666667,1516666.667,0.017802198,0.001186813,178021.978,11868.13187,0.009626374,0.000641758,96263.73626,6417.582418,0.005736264,0.000382418,57362.63736,3824.175824,15
HU2,HU,HU,160,60,13,4.63,1.543333333,1543333.333,0.010367171,0.000691145,103671.7063,6911.447084,0.003887689,0.000259179,38876.88985,2591.792657,0.000842333,5.62E-05,8423.326134,561.5550756,15
HU3,HU,HU,71,34,20,1.78,0.593333333,593333.3333,0.011966292,0.000797753,119662.9213,7977.52809,0.005730337,0.000382022,57303.37079,3820.224719,0.003370787,0.000224719,33707.86517,2247.191011,15
HU4,HU,HU,56,30,8,3.01,1.003333333,1003333.333,0.005581395,0.000372093,55813.95349,3720.930233,0.002990033,0.000199336,29900.33223,1993.355482,0.000797342,5.32E-05,7973.421927,531.5614618,15
HU5,HU,HU,84,47,17,2.74,0.913333333,913333.3333,0.00919708,0.000613139,91970.80292,6131.386861,0.005145985,0.000343066,51459.85401,3430.656934,0.001861314,0.000124088,18613.13869,1240.875912,15
HU6,HU,HU,68,343,BLQ,0.83,0.276666667,276666.6667,0.024578313,0.001638554,245783.1325,16385.54217,0.123975904,0.00826506,1239759.036,82650.60241,NA,NA,NA,NA,15
HU7,HU,HU,66,24,BLQ,1.38,0.46,460000,0.014347826,0.000956522,143478.2609,9565.217391,0.005217391,0.000347826,52173.91304,3478.26087,NA,NA,NA,NA,15
HU8,HU,HU,29,BLQ,BLQ,0.89,0.296666667,296666.6667,0.009775281,0.000651685,97752.80899,6516.853933,NA,NA,NA,NA,NA,NA,NA,NA,15
HU9,HU,HU,60,641,BLQ,0.92,0.306666667,306666.6667,0.019565217,0.001304348,195652.1739,13043.47826,0.209021739,0.013934783,2090217.391,139347.8261,NA,NA,NA,NA,15
SC1,ES,SC,61,BLQ,BLQ,0.94,0.313333333,313333.3333,0.019468085,0.001390578,194680.8511,13905.77508,NA,NA,NA,NA,NA,NA,NA,NA,14
SC2,ES,SC,67,28,9,0.93,0.31,310000,0.021612903,0.001543779,216129.0323,15437.78802,0.009032258,0.000645161,90322.58065,6451.612903,0.002903226,0.000207373,29032.25806,2073.732719,14
SC3,ES,SC,48,BLQ,3,0.71,0.236666667,236666.6667,0.02028169,0.001448692,202816.9014,14486.92153,NA,NA,NA,NA,0.001267606,9.05E-05,12676.05634,905.4325956,14
SC4,ES,SC,43,BLQ,BLQ,0.97,0.323333333,323333.3333,0.013298969,0.000949926,132989.6907,9499.263623,NA,NA,NA,NA,NA,NA,NA,NA,14
