Tube,Total Weight,Weight halved,mg/ml,ug/L,Al (ug/L),Al_Percent,Cr (ppb),Cr_Percent,Cu (ppb),Cu_Percent,Fe (ppb),Fe_Percent,Pb (ppb),Pb_Percent,Ni (ppb),Ni_Percent,Zn (ppb),Zn_Percent,Square code,HW_Int_500ft,Dist_2_Industry_ft,Distance_Group,Distance_2_TRI_m,Distance_2_TRI_ft,Distance_Group_2
R 7,93.1,46.55,7.75833,7758330,93295,1.202513943,1859,0.023961342,955,0.01230935,26932,0.347136562,809,0.00104,376,0.004846404,2854,0.036786267,BK-7,Y,5816.644718,5.6k,2065.676494,6777.154069,6.7k
R 8,111.54,55.77,9.295,9295000,50167,0.53972028,11019,0.118547606,992,0.010672405,39613,0.426175363,5244,0.00564,3184,0.034254976,4024,0.043292093,BK-8,Y,4936.153014,4.5k,2116.903642,6945.222143,6.7k
R 11,20.15,10.075,1.67917,1679170,19116,1.138419576,176,0.010481369,193,0.011493774,8399,0.500187593,152,0.00091,0,0,1799,0.107136264,BK-11,N,6420.680943,6.7k,1754.442176,5756.044068,5.6k
R 12,37.64,18.82,3.13667,3136670,15053,0.479903847,2738,0.087290024,330,0.010520711,17785,0.567002586,4499,0.01434,533,0.016992543,2301,0.073358052,BK-12,N,5455.021932,5.6k,1762.529638,5782.577738,5.6k
R 13,86.37,43.185,7.1975,7197500,340465,4.730323029,2418,0.033594998,886,0.01230983,20705,0.28766933,267,0.00037,372,0.005168461,3021,0.041972907,BK-13,N,4504.388732,4.5k,1822.298633,5978.670249,5.6k
R 18,42.12,21.06,3.51,3510000,11468,0.326723647,9137,0.26031339,249,0.007094017,23867,0.67997151,112,0.00032,1933,0.055071225,1543,0.043960114,BK-18,N,7253.770903,7.8k,1503.579837,4933.004872,4.5k
R 19,19.57,9.785,1.63083,1630830,13697,0.83987908,2491,0.152744308,124,0.00760349,7516,0.460869619,78,0.00048,1138,0.069780419,1675,0.102708437,BK-19,N,6256.930857,6.7k,1450.30257,4758.210682,4.5k
R 20,215.73,107.865,17.9775,17977500,51266,0.285167571,3572,0.019869281,5788,0.0321958,28067,0.156122931,517,0.00029,275,0.00152969,1891,0.010518704,BK-20,N,5261.302846,5.6k,1460.075653,4790.274604,4.5k
R 21,48.78,24.39,4.065,4065000,10798,0.265633456,1443,0.035498155,132,0.003247232,5773,0.14201722,46,0.00011,157,0.003862239,670,0.016482165,BK-21,N,4267.735229,4.5k,1531.692668,5025.238574,5.6k
R 31,17.48,8.74,1.45667,1456670,7758,0.532584594,3113,0.213706605,142,0.009748261,7040,0.483294089,12,0.00008,555,0.038100599,202,0.013867245,BK-31,N,5254.092126,5.6k,1158.857098,3802.024722,3.4k
R 40,19.58,9.79,1.63167,1631670,15120,0.926657964,3483,0.213462281,110,0.006741559,11449,0.701673745,130,0.0008,574,0.035178682,697,0.042716971,BK-40,Y,8362.642736,8.9k,1100.918357,3611.936981,3.4k
R 41,41.68,20.84,3.47,3470000,10269.25094,0.295943831,5541.83763,0.159707136,349.03083,0.010058525,21592.17819,0.622252974,69661.19486,0.20075,844.74758,0.024344311,11278.49937,0.3250288,BK-41,Y,7380.08548,7.8k,932.1096993,3058.102786,3.4k
R 42,32.13,16.065,2.6775,2677500,5957,0.22248366,2993,0.11178338,197,0.00735761,10676,0.398730159,329,0.00123,866,0.032343604,1626,0.060728291,BK-42,Y,6402.941599,6.7k,843.4772086,2767.313765,2.3k
R 43,23.51,11.755,1.95917,1959170,1310,0.06686505,2131,0.108770551,183,0.00934069,7393,0.377353675,233,0.00119,291,0.014853229,2394,0.122194603,BK-43,Y,5434.132112,5.6k,860.1727444,2822.089147,2.3k
R 55,125.88,62.94,10.49,10490000,45696,0.435614871,8208,0.078245949,452,0.004308866,28597,0.272612011,476,0.00045,2306,0.021982841,4294,0.040934223,BK-55,Y,3305.916996,3.4k,1427.804618,4684.398502,4.5k
R 57,128.6,64.3,10.71667,10716670,61371,0.572668562,10521,0.098174153,766,0.007147743,38794,0.361996777,1125,0.00105,3130,0.029206834,2505,0.023374798,BK-57,Y,5834.792213,5.6k,891.5081673,2924.895656,2.3k
R 58,64.6,32.3,5.38333,5383330,37714,0.700570093,4266,0.079244631,500,0.009287931,27866,0.517634995,352,0.00065,593,0.011015487,3028,0.056247713,BK-58,Y,7641.340948,7.8k,672.0075736,2204.749328,2.3k
R 59,96.8,48.4,8.06667,8066670,74820,0.927520278,2202,0.027297509,768,0.009520657,31571,0.391375871,1163,0.00144,366,0.004537188,4329,0.053665267,BK-59,Y,6702.394717,6.7k,542.4200733,1779.593473,1.2k
R 70,29.26,14.63,2.43833,2438330,5823,0.238810989,2154,0.08833915,297,0.012180468,10794,0.442680031,198,0.00081,339,0.013902958,1843,0.075584519,BK-70,Y,3956.164491,3.4k,1045.170336,3429.036646,3.4k
R 71,58.97,29.485,4.91417,4914170,44393,0.903367201,2221,0.045195832,851,0.017317268,29650,0.60335723,842,0.00171,307,0.00624724,3127,0.063632312,BK-71,Y,5344.99288,5.6k,750.5801606,2462.533414,2.3k
R 72,72.28,36.14,6.02333,6023330,65983,1.095457164,2291,0.038035439,614,0.010193697,27337,0.453851939,493,0.00082,610,0.010127288,6096,0.101206475,BK-72,Y,4456.539614,4.5k,469.2313374,1539.472941,1.2k
R 73,115.82,57.91,9.65167,9651670,126057,1.306064132,581,0.006019684,648,0.006713864,39494,0.409193435,1170,0.00121,162,0.001678466,2832,0.029342072,BK-73,Y,7130.68415,7.8k,250.6061701,822.1987472,1.2k
